Название игры;Ресторан;Дата;День недели;Номер пакета;Название команды;Последний раунд;Всего баллов;Место
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Broforce;20;66;1
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Ракета;20;65.5;2
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Последнее место;22;65;3
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;La La Band;21;63;4
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Non Stop;19;62.5;5
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;АлисА в городах;16;60.5;6
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;1?=!;15;60.5;7
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Золотой Состав Виагры;19;60;8
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Отвечает Борис Бурда;15;60;9
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;#развелибазар;12;59.5;10
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;А что уже пора?;17;56.5;11
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Абсолютная власть;16;56.5;12
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Пёс Шрёдингера;15;56;13
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Пантеры Империи;13;56;14
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Капибара у бара;14;55;15
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Банановый милкшейк;15;52.5;16
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Гуси-Победуси;13;51;17
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Одинокая бровь Брежнева;17;50.5;18
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Заметьте, не я это предложил;12;48.5;19
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Подотрешь!;11;48.5;20
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Игристые;9;48.5;21
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Лакричная палочка;15;48;22
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Пицца для ума;9;43.5;23
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Нечего терять;7;38;24
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;по венам баб течет трагедия;6;36.5;25
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Они убили Кенни;7;34;26
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Типа умные;6;33;27
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;8=Э;22;66;1
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;La La Band;22;63;2
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Non Stop;16;62.5;3
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Ракета;20;62;4
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Остановите свингер-пати;19;62;5
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Broforce;19;61;6
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Золотой Состав Виагры;21;59.5;7
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;АлисА в городах;19;59;8
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Юркие Лисички;20;58.5;9
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Дуже поганый выступ;19;58.5;10
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Отвечает Борис Бурда;15;58.5;11
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;1?=!;17;58;12
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Идеальные незнакомцы;18;57.5;13
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Во всем виноват буй;19;56;14
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Гуси-Победуси;19;55.5;15
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Что? ГДЕ ЕДА?;14;55;16
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Раненые тыквы;15;54.5;17
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Барби-колясочница;13;54;18
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Заметьте, не я это предложил;15;52;19
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Evil potatos;17;47.5;20
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Мамихлапинатапай;15;43.5;21
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Кхе-Кхе;13;43;22
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Carpe Diem;14;42.5;23
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;пруТка с утками;14;41;24
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Каста/Баста;14;39;25
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Сейчас у девчонок спрошу;11;39;26
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Мы пока не придумали;9;36.5;27
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Смурфики;12;34;28
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Пьющая интеллигенция;12;32;29
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Дряхлые метлы;7;24;30
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Broforce;22;68;1
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;La La Band;20;65.5;2
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Non Stop;22;65;3
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Отвечает Борис Бурда;20;64;4
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Банановый милкшейк;19;64;5
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Кактусик и Ко;23;61.5;6
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Гравицапа;20;61.5;7
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;1?=!;22;61;8
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Идеальные незнакомцы;20;61;9
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Последнее место;19;61;10
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Ракета;20;60;11
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Хороший, плохой, глухой;15;60;12
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Как активировать уголь;17;57;13
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Заметьте, не я это предложил;16;55;14
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Что? ГДЕ ЕДА?;16;54;15
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Абсолютная власть;13;51;16
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Сиси Кхалиси;13;48.5;17
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Юркие Лисички;16;47;18
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Асики;18;44;19
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Магрипахарипулаева;8;39.5;20
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Зона рискованного земледелия;13;39;21
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;ИрКа;11;39;22
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;FatBoySlim;9;36.5;23
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Умные улитки;11;35;24
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Рита Хейворт;7;35;25
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Чем я так плов;12;34.5;26
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Пришли поесть;8;34.5;27
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Бой с гёрлс;13;34;28
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Подотрешь!;9;34;29
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Доктор ШТА;8;33;30
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Мы Ранетки!;7;29.5;31
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Имени В. В. Путина;1;25.5;32
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;8=Э;16;58;1
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;1?=!;17;55.5;2
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;Non Stop;15;55;3
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;Ракета;12;54.5;4
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;Broforce;14;54;5
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;Абсолютная власть;19;52.5;6
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;Отвечает Борис Бурда;12;52.5;7
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;La La Band;11;51;8
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;Идеальные незнакомцы;11;49;9
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;Пей пиво!;13;48;10
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;Заметьте, не я это предложил;11;47.5;11
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;Унаги;11;46.5;12
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;Гравицапа;13;45.5;13
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;Тамкэт;10;45;14
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;Хороший, плохой, глухой;8;43.5;15
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;Имитация сарказма;8;42.5;16
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;Москва и Питер на одной орбите;13;40.5;17
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;Игътибар;8;40;18
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;ДК Мирон;7;40;19
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;Подотрешь!;9;38.5;20
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;Юркие Лисички;10;38;21
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;ИрКа;12;34;22
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;Наташа и котики;6;32;23
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;Хит большого города;4;28;24
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;Гидродамы;3;25.5;25
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;Барчик 611;6;22.5;26
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;2 Белоснежки и гномы;2;19.5;27
[кино и музыка] SPB #43;Хали-Гали;12.09.2020;Сб;1;ВискиКола;7;18.5;28
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;Non Stop;19;63.5;1
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;Ракета;18;63;2
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;1?=!;18;63;3
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;La La Band;18;62;4
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;Идеальные незнакомцы;20;60;5
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;Гравицапа;20;58.5;6
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;Заметьте, не я это предложил;19;57.5;7
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;Банановый милкшейк;14;54;8
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;Игътибар;15;53.5;9
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;Гуси-Победуси;15;53;10
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;Чем я так плов;16;52.5;11
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;Хороший, плохой, глухой;16;51;12
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;ДК Мирон;14;49.5;13
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;Авокадо Кидала;11;48;14
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;Дети маминой подруги;12;46.5;15
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;Лунная призма;11;46.5;16
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;ARINA PARTY;10;45.5;17
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;МКС;11;44;18
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;К черту подробности;10;39;19
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;Нурсултан;12;37.5;20
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;Красная стрела;10;37;21
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;Кикорики;2;33;22
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;Кадровая полиция;11;32.5;23
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;Скользкая ступень развития;11;31.5;24
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;It's my life;7;31;25
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;Лучше в пьяном состоянии;6;30;26
[кино и музыка] SPB #44;Хали-Гали;26.09.2020;Сб;1;3+2;14;44;27
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Broforce;19;63.5;1
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Последнее место;18;60.5;2
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Юркие Лисички;16;57;3
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Что? ГДЕ ЕДА?;16;56;4
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Отвечает Борис Бурда;13;56;5
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Ньюби;18;53.5;6
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Подотрешь!;15;53;7
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;8=Э;17;52;8
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Мафия;17;50.5;9
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Джонни обнаглел;15;50.5;10
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Я подумаю об этом завтра;12;49;11
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Астероид и полубоги;18;47.5;12
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;ГлАМУРные тигры;16;47;13
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Це команда;9;46.5;14
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Алиса и Ко;12;44.5;15
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Easy Peasy 2;13;43;16
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Красавчик, помоги!;10;43;17
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Seven Psychopaths;9;42;18
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;French Dogs;11;41.5;19
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Психология сознательного;13;41;20
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Зайчатки разума;12;40.5;21
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Кряк и его друзья;9;39.5;22
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Easy Peasy;10;39;23
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Васаби;13;37;24
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Без фантазии;12;35.5;25
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;LogDoc;13;34;26
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Без амбиций;3;26;27
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;ЧАЧКА ПИПСОВ;0;26;28
[кино и музыка] SPB #44;Metropolis Kitchen & Bar;26.09.2020;Сб;2;Полет с филологом;-2;12.5;29
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;8=Э;20;63.5;1
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Ракета;21;60;2
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Игътибар;20;57.5;3
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Отвечает Борис Бурда;18;57.5;4
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Подотрешь!;21;57;5
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;1?=!;17;57;6
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Иррациональный взлёт лопаты;22;56;7
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Гравицапа;19;55.5;8
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Никто не вудиаллен;15;54;9
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Токсичные твари и где они обитают;19;50.5;10
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Идеальные незнакомцы;14;50.5;11
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Non Stop;16;50;12
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Абсолютная Власть;14;49.5;13
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Банановый милкшейк;13;48.5;14
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;La La Band;15;47.5;15
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Чайный гриб;16;46;16
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Правила абстракции;12;45.5;17
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Хороший, плохой, глухой;15;45;18
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Гэндальф в кедах;11;44.5;19
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;ДК Мирон;14;41.5;20
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Мы-ей, а нам-она;13;41;21
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Белки-летяги;13;39;22
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;привет как дела;12;38.5;23
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Отказы наше топливо!;8;37.5;24
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Скользкая ступень развития;8;34.5;25
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Фанатки Роберта Паттинсона;10;34;26
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Андердоги;11;29.5;27
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Гросс;6;28.5;28
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Бесстыжие маечки;5;27;29
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Акцио, жопка!;9;26.5;30
[кино и музыка] SPB #45;Хали-Гали;10.10.2020;Сб;1;Лизкин день рождения;3;15.5;31
[кино и музыка] SPB #45;Metropolis Kitchen & Bar;10.10.2020;Сб;2;Последнее место;21;64.5;1
[кино и музыка] SPB #45;Metropolis Kitchen & Bar;10.10.2020;Сб;2;Broforce;21;64;2
[кино и музыка] SPB #45;Metropolis Kitchen & Bar;10.10.2020;Сб;2;Что? ГДЕ ЕДА?;17;52.5;3
[кино и музыка] SPB #45;Metropolis Kitchen & Bar;10.10.2020;Сб;2;No title;16;51;4
[кино и музыка] SPB #45;Metropolis Kitchen & Bar;10.10.2020;Сб;2;Ни Эрих, ни Мария, ни Ремарк;14;50.5;5
[кино и музыка] SPB #45;Metropolis Kitchen & Bar;10.10.2020;Сб;2;На диете;19;49;6
[кино и музыка] SPB #45;Metropolis Kitchen & Bar;10.10.2020;Сб;2;Гуси-Победуси;9;46.5;7
[кино и музыка] SPB #45;Metropolis Kitchen & Bar;10.10.2020;Сб;2;Bruxelles;17;43.5;8
[кино и музыка] SPB #45;Metropolis Kitchen & Bar;10.10.2020;Сб;2;Всех Благ;13;41.5;9
[кино и музыка] SPB #45;Metropolis Kitchen & Bar;10.10.2020;Сб;2;Лунная призма;12;41.5;10
[кино и музыка] SPB #45;Metropolis Kitchen & Bar;10.10.2020;Сб;2;Evil potatos;10;40.5;11
[кино и музыка] SPB #45;Metropolis Kitchen & Bar;10.10.2020;Сб;2;Гендерный Раритет;10;40;12
[кино и музыка] SPB #45;Metropolis Kitchen & Bar;10.10.2020;Сб;2;Вдвоем;11;34.5;13
[кино и музыка] SPB #45;Metropolis Kitchen & Bar;10.10.2020;Сб;2;Усы Пескова;8;31;14
[кино и музыка] SPB #45;Metropolis Kitchen & Bar;10.10.2020;Сб;2;ГБУКлишко;9;30.5;15
[кино и музыка] SPB #45;Metropolis Kitchen & Bar;10.10.2020;Сб;2;Эмбур;13;29;16
[кино и музыка] SPB #45;Metropolis Kitchen & Bar;10.10.2020;Сб;2;Порват Порватыч;8;28;17
[кино и музыка] SPB #45;Metropolis Kitchen & Bar;10.10.2020;Сб;2;Шабаш;4;25;18
[кино и музыка] SPB #45;Metropolis Kitchen & Bar;10.10.2020;Сб;2;Зато мы красотки;4;24;19
[кино и музыка] SPB #45;Metropolis Kitchen & Bar;10.10.2020;Сб;2;Ради интереса;5;23.5;20
[кино и музыка] SPB #45;Metropolis Kitchen & Bar;10.10.2020;Сб;2;Близкие;7;21;21
[кино и музыка] SPB #45;Metropolis Kitchen & Bar;10.10.2020;Сб;2;Антифриз;4;17.5;22
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;8=Э;22;68.5;1
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;1?=!;20;66;2
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Broforce;22;65.5;3
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Non Stop;21;64.5;4
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Последнее место;21;63;5
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Абсолютная Власть;20;63;6
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Юркие Лисички;22;62;7
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Ракета;20;62;8
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Идеальные незнакомцы;18;61;9
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Белки-летяги;18;60.5;10
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Гуси-Победуси;20;58.5;11
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Никто не вудиаллен;19;58.5;12
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Банановый милкшейк;18;58.5;13
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Гравицапа;19;54.5;14
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Джокер Спаниэльф;17;54;15
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Отвечает Борис Бурда;15;53;16
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Ольга Васильевна;16;49;17
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Богиня Чи и шлёндры;16;49;18
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Токсичные твари;14;48;19
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Правила абстракции;18;45.5;20
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Хороший, плохой, глухой;14;45;21
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Перед игрой поменяем на нормальное;18;44.5;22
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Руссо Туристо;12;42.5;23
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Женьшень-Шеньжень;10;42;24
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;ВсёСе;16;41.5;25
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;ПИПИ;11;41.5;26
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Белки!;13;41;27
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Зона рискованного земледелия;11;39.5;28
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Удача за нас;16;38.5;29
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Аннигеляторная пушка;13;37.5;30
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Шальные кирпичи;10;36;31
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Заводные апельсины;14;35;32
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Паровозик, который пробует;12;34.5;33
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Mister Fog;9;34;34
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Усы Пескова;10;32.5;35
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Maybe так;14;32;36
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Evil potatos;8;32;37
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Тюлени;10;31.5;38
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Ez katka;9;30.5;39
[кино и музыка] SPB #46;Хали-Гали;25.10.2020;Вс;1;Проворобышки;6;17.5;40
[кино и музыка] SPB #46;Хали-Гали;28.10.2020;Ср;2;Багровый Фантомас;20;65;1
[кино и музыка] SPB #46;Хали-Гали;28.10.2020;Ср;2;Золотой состав Виагры;19;59;2
